;fecha;hora;dep;jur;tipo.sin;vehi;rol;edad;sexo;f.dias;otro.vehi;dir;x;y
2017;27/02/2017;07:10:00;SALTO;NACIONAL;DESPISTE;CAMIONETA;PASAJERO;19;F;0;;RUTA 3 KM. 495;
2017;03/02/2017;20:42:00;CANELONES;NACIONAL;ATROPELLO DE PEATON;PEATON;PEATON;7;F;1;AUTO;RUTA INTERBALNEARIA KM. 35;
2017;03/03/2017;05:20:00;SAN JOSE;NACIONAL;COLISION ENTRE VEHICULOS;MOTO;CONDUCTOR;47;M;1;MOTO;RUTA 1 KM. 39;
2017;03/03/2017;15:32:00;CANELONES;NACIONAL;DESPISTE;CAMIONETA;CONDUCTOR;78;M;0;;RUTA 11 KM. 96;
2017;03/04/2017;06:58:00;TACUAREMBO;DEPARTAMENTAL;CAIDA;MOTO;PASAJERO;23;M;24;;LUIS BATLLE BERRES ESQ. ADELAIDA PUYOL;545595
2017;03/04/2017;06:30:00;MONTEVIDEO;DEPARTAMENTAL;COLISION ENTRE VEHICULOS;AUTO;CONDUCTOR;46;M;1;CAMIONETA;DOCTOR WASHINGTON BELTRAN ESQ. AYACUCHO;578365
2017;03/04/2017;06:57:00;COLONIA;NACIONAL;COLISION ENTRE VEHICULOS;AUTO;CONDUCTOR;20;M;0;CAMION;RUTA 21;421699
2017;03/04/2017;09:40:00;CANELONES;NACIONAL;COLISION ENTRE VEHICULOS;AUTO;CONDUCTOR;76;M;3;AUTO;RUTA INTERBALNEARIA KM. 63;629751
2017;03/04/2017;21:40:00;FLORES;NACIONAL;CAIDA;MOTO;PASAJERO;18;F;1;;RUTA 14 KM. 155;
2017;03/05/2017;21:15:00;MONTEVIDEO;DEPARTAMENTAL;ATROPELLO DE PEATON;PEATON;PEATON;76;F;2;MOTO;AVENIDA JOSE BELLONI ESQ. HUNGRIA;578628
2017;03/06/2017;08:15:00;TACUAREMBO;NACIONAL;DESPISTE;AUTO;CONDUCTOR;74;M;1;;RUTA 5 KM. 353;
2017;03/06/2017;20:00:00;CANELONES;NACIONAL;COLISION ENTRE VEHICULOS;MOTO;CONDUCTOR;65;F;0;TRACTOR;RUTA 81 KM 48;
2017;03/09/2017;20:05:00;COLONIA;NACIONAL;COLISION ENTRE VEHICULOS;MOTO;CONDUCTOR;37;M;0;MOTO;RUTA 1 KM. 121;
2017;03/09/2017;18:25:00;COLONIA;NACIONAL;COLISION ENTRE VEHICULOS;MOTO;CONDUCTOR;66;M;0;CAMION;RUTA 12 KM. 3;375520
2017;03/10/2017;13:02:00;MONTEVIDEO;NACIONAL;COLISION ENTRE VEHICULOS;MOTO;PASAJERO;16;F;0;CAMION;RUTA 5 KM. 7;
2017;03/10/2017;13:02:00;MONTEVIDEO;NACIONAL;COLISION ENTRE VEHICULOS;MOTO;PASAJERO;0;M;0;CAMION;RUTA 5 KM. 7;
2017;03/12/2017;01:00:00;CANELONES;NACIONAL;ATROPELLO DE PEATON;PEATON;PEATON;31;M;0;AUTO;RUTA INTERBALNEARIA KM 64;
